# analysis/lf52_episode_lengths.csv -- AUTHORITATIVE Fig-3b table
# Generator: analysis/lf52_episode_lengths.py (read-only, tracked)
# Unit: RHAE action_count = (#step-rows)-1  [human: len(episode)-1; agent: len(rewards)-1]
# Human segmentation: canonical arc3_wm.replay_loader.load_replay_file (rewalk cross-check OK)
# phantom = lone 1-row / 0-action segment.
#
# ===== HUMAN per-episode summary (action_count) =====
#   INCLUDING phantoms: n=48  median=67  max=1604  | WIN=4 GAME_OVER=0 NOT_FINISHED=44
#   EXCLUDING phantoms: n=45  median=77  max=1604  | WIN=4 GAME_OVER=0 NOT_FINISHED=41  (dropped 3 phantom)
#
# ===== AGENT eval series (same unit) =====
#   eval episodes total n=105  distinct action_count=[64]  variance=0  -> all == 64, zero variance
#     p4-lf52-s0-warm-98de390: n=28 distinct=[64]
#     p4-lf52-s1-warm-98de390: n=26 distinct=[64]
#     p4-fromscratch-lf52-s0-a06c02f: n=26 distinct=[64]
#     p4-fromscratch-lf52-s1-a06c02f: n=25 distinct=[64]
#
series,session_id,episode_idx_in_session,action_count,terminal_state,is_phantom
human,09ed6d45-ac12-462f-aa01-49164a5f7ec7,0,1251,WIN,0
human,2adcd0b8-5e21-42e6-8976-b163b0d96d4a,0,4,NOT_FINISHED,0
human,2adcd0b8-5e21-42e6-8976-b163b0d96d4a,1,19,NOT_FINISHED,0
human,2adcd0b8-5e21-42e6-8976-b163b0d96d4a,2,10,NOT_FINISHED,0
human,2adcd0b8-5e21-42e6-8976-b163b0d96d4a,3,22,NOT_FINISHED,0
human,2adcd0b8-5e21-42e6-8976-b163b0d96d4a,4,30,NOT_FINISHED,0
human,2adcd0b8-5e21-42e6-8976-b163b0d96d4a,5,10,NOT_FINISHED,0
human,2adcd0b8-5e21-42e6-8976-b163b0d96d4a,6,6,NOT_FINISHED,0
human,2adcd0b8-5e21-42e6-8976-b163b0d96d4a,7,2,NOT_FINISHED,0
human,2adcd0b8-5e21-42e6-8976-b163b0d96d4a,8,397,NOT_FINISHED,0
human,2adcd0b8-5e21-42e6-8976-b163b0d96d4a,9,68,NOT_FINISHED,0
human,2adcd0b8-5e21-42e6-8976-b163b0d96d4a,10,1163,WIN,0
human,2b7ab5e3-7ba6-4e65-845e-fa50fa439f8a,0,77,NOT_FINISHED,0
human,401bf4ae-848b-4c07-8f95-9e3d85ee1ebf,0,66,NOT_FINISHED,0
human,401bf4ae-848b-4c07-8f95-9e3d85ee1ebf,1,12,NOT_FINISHED,0
human,40bd319e-4d3a-451e-87e2-c88b02c2b024,0,1604,NOT_FINISHED,0
human,549e2635-b796-480c-b67f-f740c42bc086,0,441,NOT_FINISHED,0
human,549e2635-b796-480c-b67f-f740c42bc086,1,545,NOT_FINISHED,0
human,549e2635-b796-480c-b67f-f740c42bc086,2,325,NOT_FINISHED,0
human,72a712db-3ae0-48df-8cfc-9bf9ceeca010,0,18,NOT_FINISHED,0
human,72a712db-3ae0-48df-8cfc-9bf9ceeca010,1,13,NOT_FINISHED,0
