game,feature,target,balanced_acc,chance,null_mean,p_value,p_holm,decodable
cd82,deter,level_id,0.4995,0.1667,0.1694,0.001996007984031936,,
cd82,deter,transition,0.8298,0.5,0.5089,0.001996007984031936,,
cd82,deter,reward_imminence,0.6378,0.5,0.5008,0.001996007984031936,,
cd82,deter,reward_proximity,0.6263,0.5,0.4992,0.001996007984031936,,
cd82,deter,time_since_reset,0.5657,0.2,0.2,0.001996007984031936,,
cd82,stoch,level_id,0.4251,0.1667,0.1706,0.001996007984031936,,
cd82,stoch,transition,0.6397,0.5,0.5126,0.001996007984031936,,
cd82,stoch,reward_imminence,0.6124,0.5,0.4996,0.001996007984031936,,
cd82,stoch,reward_proximity,0.615,0.5,0.4993,0.001996007984031936,,
cd82,stoch,time_since_reset,0.301,0.2,0.1994,0.001996007984031936,,
cd82,both,level_id,0.5331,0.1667,0.17,0.0004997501249375312,0.04498,True
cd82,both,transition,0.9086,0.5,0.5086,0.0004997501249375312,0.04498,True
cd82,both,reward_imminence,0.6334,0.5,0.5004,0.0004997501249375312,0.04498,True
cd82,both,reward_proximity,0.6429,0.5,0.4999,0.0004997501249375312,0.04498,True
cd82,both,time_since_reset,0.574,0.2,0.1999,0.0004997501249375312,0.04498,True
cd82,pixel,level_id,0.5008,0.1667,0.1703,0.0004997501249375312,0.04498,True
cd82,pixel,transition,0.93,0.5,0.5115,0.0004997501249375312,0.04498,True
cd82,pixel,reward_imminence,0.7906,0.5,0.5,0.0004997501249375312,0.04498,True
cd82,pixel,reward_proximity,0.8334,0.5,0.5,0.0004997501249375312,0.04498,True
cd82,pixel,time_since_reset,0.5562,0.2,0.2003,0.0004997501249375312,0.04498,True
cd82,clock,level_id,0.4069,0.1667,0.1702,0.0004997501249375312,0.04498,True
cd82,clock,transition,0.6,0.5,0.5115,0.01249375312343828,0.23738,False
cd82,clock,reward_imminence,0.6,0.5,0.5,0.0004997501249375312,0.04498,True
cd82,clock,reward_proximity,0.6,0.5,0.5,0.0004997501249375312,0.04498,True
cd82,clock,time_since_reset,1.0,0.2,0.1995,0.0004997501249375312,0.04498,True
lf52,deter,level_id,0.5004,0.1,0.1027,0.001996007984031936,,
lf52,deter,transition,0.6949,0.5,0.6143,0.03992015968063872,,
lf52,deter,reward_imminence,0.718,0.5,0.5423,0.001996007984031936,,
lf52,deter,reward_proximity,0.7017,0.5,0.5186,0.001996007984031936,,
lf52,deter,time_since_reset,0.647,0.2,0.2,0.001996007984031936,,
lf52,stoch,level_id,0.4445,0.1,0.1034,0.001996007984031936,,
lf52,stoch,transition,0.5999,0.5,0.6155,0.7445109780439122,,
lf52,stoch,reward_imminence,0.5997,0.5,0.5473,0.08582834331337326,,
lf52,stoch,reward_proximity,0.6083,0.5,0.5239,0.001996007984031936,,
lf52,stoch,time_since_reset,0.5923,0.2,0.2002,0.001996007984031936,,
lf52,both,level_id,0.4968,0.1,0.1027,0.0004997501249375312,0.04498,True
lf52,both,transition,0.6935,0.5,0.6154,0.050474762618690654,0.85807,False
lf52,both,reward_imminence,0.7353,0.5,0.5442,0.0004997501249375312,0.04498,True
lf52,both,reward_proximity,0.7331,0.5,0.5198,0.0004997501249375312,0.04498,True
lf52,both,time_since_reset,0.6377,0.2,0.2001,0.0004997501249375312,0.04498,True
lf52,pixel,level_id,0.2798,0.1,0.1037,0.0004997501249375312,0.04498,True
lf52,pixel,transition,0.5998,0.5,0.6167,0.8660669665167416,1.0,False
lf52,pixel,reward_imminence,0.8344,0.5,0.5492,0.0004997501249375312,0.04498,True
lf52,pixel,reward_proximity,0.8499,0.5,0.5251,0.0004997501249375312,0.04498,True
lf52,pixel,time_since_reset,0.5738,0.2,0.2001,0.0004997501249375312,0.04498,True
lf52,clock,level_id,0.4963,0.1,0.1048,0.0004997501249375312,0.04498,True
lf52,clock,transition,0.6,0.5,0.6167,0.8700649675162418,1.0,False
lf52,clock,reward_imminence,0.6,0.5,0.5492,0.21889055472263869,1.0,False
lf52,clock,reward_proximity,0.6,0.5,0.5252,0.04397801099450275,0.7916,False
lf52,clock,time_since_reset,1.0,0.2,0.1999,0.0004997501249375312,0.04498,True
ls20,deter,level_id,0.393,0.1429,0.1427,0.001996007984031936,,
ls20,deter,transition,0.5,0.5,0.5214,0.9540918163672655,,
ls20,deter,reward_imminence,0.5311,0.5,0.5001,0.001996007984031936,,
ls20,deter,reward_proximity,0.5445,0.5,0.5001,0.001996007984031936,,
ls20,deter,time_since_reset,0.2463,0.2,0.2001,0.001996007984031936,,
ls20,stoch,level_id,0.3602,0.1429,0.1429,0.001996007984031936,,
ls20,stoch,transition,0.5,0.5,0.5214,0.8582834331337326,,
ls20,stoch,reward_imminence,0.4999,0.5,0.5,0.29740518962075846,,
ls20,stoch,reward_proximity,0.5024,0.5,0.5,0.04790419161676647,,
ls20,stoch,time_since_reset,0.2403,0.2,0.1996,0.001996007984031936,,
ls20,both,level_id,0.3801,0.1429,0.1429,0.0004997501249375312,0.04498,True
ls20,both,transition,0.5,0.5,0.5193,0.7606196901549226,1.0,False
ls20,both,reward_imminence,0.5322,0.5,0.5001,0.0014992503748125937,0.04498,True
ls20,both,reward_proximity,0.5646,0.5,0.5,0.0004997501249375312,0.04498,True
ls20,both,time_since_reset,0.2453,0.2,0.1999,0.0004997501249375312,0.04498,True
ls20,pixel,level_id,0.4286,0.1429,0.1429,0.0004997501249375312,0.04498,True
ls20,pixel,transition,0.606,0.5,0.5193,0.001999000499750125,0.04498,True
ls20,pixel,reward_imminence,0.56,0.5,0.5,0.0004997501249375312,0.04498,True
ls20,pixel,reward_proximity,0.581,0.5,0.5,0.0004997501249375312,0.04498,True
ls20,pixel,time_since_reset,0.3955,0.2,0.2,0.0004997501249375312,0.04498,True
ls20,clock,level_id,0.5858,0.1429,0.1429,0.0004997501249375312,0.04498,True
ls20,clock,transition,0.5,0.5,0.5193,1.0,1.0,False
ls20,clock,reward_imminence,0.5,0.5,0.5,1.0,1.0,False
ls20,clock,reward_proximity,0.5,0.5,0.5,1.0,1.0,False
ls20,clock,time_since_reset,1.0,0.2,0.2,0.0004997501249375312,0.04498,True
sb26,deter,level_id,0.7976,0.125,0.1251,0.001996007984031936,,
sb26,deter,transition,0.736,0.5,0.5173,0.001996007984031936,,
sb26,deter,reward_imminence,0.6072,0.5,0.5,0.001996007984031936,,
sb26,deter,reward_proximity,0.5844,0.5,0.4992,0.001996007984031936,,
sb26,deter,time_since_reset,0.5789,0.2,0.2004,0.001996007984031936,,
sb26,stoch,level_id,0.6064,0.125,0.1256,0.001996007984031936,,
sb26,stoch,transition,0.6329,0.5,0.527,0.001996007984031936,,
sb26,stoch,reward_imminence,0.5886,0.5,0.5004,0.001996007984031936,,
sb26,stoch,reward_proximity,0.6156,0.5,0.4997,0.001996007984031936,,
sb26,stoch,time_since_reset,0.396,0.2,0.1993,0.001996007984031936,,
sb26,both,level_id,0.8004,0.125,0.1253,0.0004997501249375312,0.04498,True
sb26,both,transition,0.7907,0.5,0.5146,0.0004997501249375312,0.04498,True
sb26,both,reward_imminence,0.6388,0.5,0.5005,0.0004997501249375312,0.04498,True
sb26,both,reward_proximity,0.6507,0.5,0.5005,0.0004997501249375312,0.04498,True
sb26,both,time_since_reset,0.5742,0.2,0.2,0.0004997501249375312,0.04498,True
sb26,pixel,level_id,0.6659,0.125,0.1256,0.0004997501249375312,0.04498,True
sb26,pixel,transition,0.7094,0.5,0.5285,0.0004997501249375312,0.04498,True
sb26,pixel,reward_imminence,0.8079,0.5,0.5001,0.0004997501249375312,0.04498,True
sb26,pixel,reward_proximity,0.7936,0.5,0.5,0.0004997501249375312,0.04498,True
sb26,pixel,time_since_reset,0.5308,0.2,0.2001,0.0004997501249375312,0.04498,True
sb26,clock,level_id,0.4151,0.125,0.1256,0.0004997501249375312,0.04498,True
sb26,clock,transition,0.55,0.5,0.5285,0.5047476261869065,1.0,False
sb26,clock,reward_imminence,0.55,0.5,0.5002,0.005497251374312844,0.10995,False
sb26,clock,reward_proximity,0.55,0.5,0.5,0.0009995002498750624,0.04498,True
sb26,clock,time_since_reset,1.0,0.2,0.1996,0.0004997501249375312,0.04498,True
