batch,arm,game,seed,done,step,train_eps,train_clears,norm_entropy,image_loss,periodic_n,periodic_clears,periodic_official,periodic_harness,e100_n,e100_clear_rate,e100_lo,e100_hi,e100_official,e100_official_mean,e100_levels_max
long5m,cold,cd82,0,True,4999904,49561,0,0.9999999406169339,0.012337801079560057,232,0,0.0,0.0,100,0.0,0.0,0.037,0.0,0.0,0
long5m,cold,sb26,0,True,4996992,5052,0,0.9999999427623267,0.11357388416782613,240,0,0.0,0.0,100,0.0,0.0,0.037,0.0,0.0,0
long5m,cold,vc33,0,True,4999982,70014,34,0.7951607608096504,0.11739497659079758,208,2,0.01446,0.05476,100,1.0,0.963,1.0,0.03571,0.03031,1
mixture,cold,cd82,0,True,499994,4936,18,0.7901401417905634,1.5222110730951484,21,1,0.04762,0.05476,100,1.0,0.963,1.0,0.04762,0.04762,1
mixture,cold,cd82,1,True,499970,4936,19,0.8394972916082902,1.6066461452570828,21,1,0.04762,0.05476,100,0.68,0.5834,0.7633,0.04762,0.03238,1
mixture,cold,cd82,2,True,499997,4939,17,0.8085939057653756,0.9356917290807628,21,1,0.04762,0.05476,100,1.0,0.963,1.0,0.04762,0.04762,1
mixture,cold,cd82,3,True,499928,4936,19,0.8599184312990733,4.116267630032131,21,1,0.04762,0.05476,100,0.99,0.9455,0.9982,0.04762,0.04714,1
mixture,cold,cd82,4,True,499946,4941,19,0.9158393891825192,4.822506387488565,22,2,0.04762,0.05476,100,1.0,0.963,1.0,0.04762,0.04762,1
mixture,cold,cd82,5,True,499915,4945,17,0.6566263979716267,1.5323550407406237,21,0,0.0,0.0,100,1.0,0.963,1.0,0.04762,0.04762,1
mixture,cold,ls20,0,True,499928,575,0,0.9999999403953552,0.5703589613673351,28,0,0.0,0.0,100,0.0,0.0,0.037,0.0,0.0,0
mixture,cold,ls20,1,True,499404,577,1,0.9999983647397457,0.8210070856654917,28,0,0.0,0.0,100,0.0,0.0,0.037,0.0,0.0,0
mixture,cold,ls20,2,True,499225,580,1,0.9999984356635375,0.793773624175353,28,0,0.0,0.0,100,0.0,0.0,0.037,0.0,0.0,0
mixture,cold,sp80,0,True,499875,11211,16,0.9735824148431956,0.23961734956652997,14,0,0.0,0.0,100,0.0,0.0,0.037,0.0,0.0,0
mixture,cold,sp80,1,True,499992,13040,10,0.9998780250111047,0.22281455281464493,24,0,0.0,0.0,100,0.0,0.0,0.037,0.0,0.0,0
mixture,cold,sp80,2,True,499956,11037,16,0.9594168058308689,0.2603426700288599,17,0,0.0,0.0,100,0.0,0.0,0.037,0.0,0.0,0
paired,cold,cd82,2,True,499344,4950,0,0.9999999403953552,0.15787166438024977,24,0,0.0,0.0,100,0.0,0.0,0.037,0.0,0.0,0
paired,cold,cd82,3,True,499344,4950,0,0.9999999419125644,0.16799277411265806,24,0,0.0,0.0,100,0.0,0.0,0.037,0.0,0.0,0
paired,cold,cd82,4,True,499344,4950,0,0.9999999444690539,0.18852388641709905,24,0,0.0,0.0,100,0.0,0.0,0.037,0.0,0.0,0
paired,cold,lf52,2,True,499953,7402,0,0.9999999448105141,0.35335160350358047,31,0,0.0,0.0,100,0.0,0.0,0.037,0.0,0.0,0
